排名,上次排名,歌名,歌手,会员,歌曲分类,更新时间
1,0,绝配,时代少年团,8,酷狗华语新歌,2022-07-26
2,0,重生,周深,8,酷狗华语新歌,2022-07-26
3,0,再不见,王靖雯,8,酷狗华语新歌,2022-07-26
4,0,一笑山河,等什么君(邓寓君),8,酷狗华语新歌,2022-07-26
5,0,偏星,张靓颖,8,酷狗华语新歌,2022-07-26
6,0,云山,凤凰传奇,8,酷狗华语新歌,2022-07-26
7,0,你的样子,周深,8,酷狗华语新歌,2022-07-26
8,0,红尘录,张杰,8,酷狗华语新歌,2022-07-26
9,0,风萧萧,艾辰,8,酷狗华语新歌,2022-07-26
10,0,你是我在这座城市的牵挂,韩小欠,8,酷狗华语新歌,2022-07-26
11,0,传奇天下,陈小春,8,酷狗华语新歌,2022-07-26
12,0,泛泛之友,王靖雯、盖君炎,8,酷狗华语新歌,2022-07-26
13,0,逆勇者,金莎,0,酷狗华语新歌,2022-07-26
14,0,Pen、布瑞吉Bridge,GAI周延、Kungfu,8,酷狗华语新歌,2022-07-26
15,0,剑侠,来一碗老于,8,酷狗华语新歌,2022-07-26
16,0,三国叹·鸿图天下,Tank,8,酷狗华语新歌,2022-07-26
17,0,林悠悠,SING,8,酷狗华语新歌,2022-07-26
18,0,念念不忘,王新杨,8,酷狗华语新歌,2022-07-26
19,0,倾国倾城,安静,8,酷狗华语新歌,2022-07-26
20,0,"RISING,MY WAY",NINEONE #,0,酷狗华语新歌,2022-07-26
21,0,你Youniverse (Live),CORSAK胡梦周,8,酷狗华语新歌,2022-07-26
22,0,丰收年年,门丽,8,酷狗华语新歌,2022-07-26
23,0,沧海一声笑,二手玫瑰乐队,8,酷狗华语新歌,2022-07-26
24,0,和平鸽,陈粒,8,酷狗华语新歌,2022-07-26
25,0,一个人太寂寞,黑龙,8,酷狗华语新歌,2022-07-26
26,0,想去海边,夏日,8,酷狗华语新歌,2022-07-26
27,0,美丽笑容,雨宗林,8,酷狗华语新歌,2022-07-26
28,0,阿欠姑娘,亦伊,8,酷狗华语新歌,2022-07-26
29,0,天上不会掉馅饼,INTO1,8,酷狗华语新歌,2022-07-26
30,0,接地气儿,大庆小芳,8,酷狗华语新歌,2022-07-26
1,0,骗我的谎,苏潇潇,8,酷狗华语新歌,2022-07-26
2,0,Take Me Back,Sunnee杨芸晴,8,酷狗华语新歌,2022-07-26
3,0,人生没有难过的关,东北小黑姐,8,酷狗华语新歌,2022-07-26
4,0,明天会营业,双周,8,酷狗华语新歌,2022-07-26
5,0,月与风吟,迩攸,8,酷狗华语新歌,2022-07-26
6,0,我爱,曼林,8,酷狗华语新歌,2022-07-26
7,0,So Far Away (国语版),马歇尔,8,酷狗华语新歌,2022-07-26
1,0,错过的烟火,周杰伦,10,酷狗华语新歌,2022-07-26
2,0,凡尘的蛹,雨中百合,8,酷狗华语新歌,2022-07-26
3,0,数字人生 (Live),林子祥、林晓峰,8,酷狗华语新歌,2022-07-26
4,0,七月七,艾辰,8,酷狗华语新歌,2022-07-26
5,0,祝福,周深,0,酷狗华语新歌,2022-07-26
6,0,单机游戏,马思唯,8,酷狗华语新歌,2022-07-26
7,0,朋友,张杰,8,酷狗华语新歌,2022-07-26
8,0,我这一生好艰辛,王爱华,8,酷狗华语新歌,2022-07-26
9,0,一笑解千愁,安静,8,酷狗华语新歌,2022-07-26
10,0,相见恨晚的相逢,米灵,8,酷狗华语新歌,2022-07-26
11,0,再见莫妮卡 (Monica),宋小睿,8,酷狗华语新歌,2022-07-26
12,0,靓仔日记,单依纯,8,酷狗华语新歌,2022-07-26
13,0,讨厌,夏婉安,8,酷狗华语新歌,2022-07-26
14,0,岁月过客,安儿陈,8,酷狗华语新歌,2022-07-26
15,0,我们会不会再次牵手,秋裤大叔,8,酷狗华语新歌,2022-07-26
16,0,又能如何,L（桃籽）,8,酷狗华语新歌,2022-07-26
17,0,谁懂女人的眼泪,戴春良、王爱华,8,酷狗华语新歌,2022-07-26
18,0,如果用风来形容你,龙梅子、老猫,8,酷狗华语新歌,2022-07-26
19,0,万壑,陈雅森,8,酷狗华语新歌,2022-07-26
20,0,梦醒一场空,夏婉安,8,酷狗华语新歌,2022-07-26
21,0,走在冷雨中,大笨,8,酷狗华语新歌,2022-07-26
22,0,醒醒 (Live),周笔畅、安崎,8,酷狗华语新歌,2022-07-26
23,0,操作失控,安儿陈,8,酷狗华语新歌,2022-07-26
24,0,冒险,苏星婕、杨贡,8,酷狗华语新歌,2022-07-26
25,0,第一次爱的人 (女版),戴羽彤,8,酷狗华语新歌,2022-07-26
26,0,你不该夺走我的全部,魏佳艺,8,酷狗华语新歌,2022-07-26
27,0,我真情流露你满不在乎,南北组合 吉萍,8,酷狗华语新歌,2022-07-26
28,0,风中火,邓岳章、大笨、施文斌、邓轩,8,酷狗华语新歌,2022-07-26
29,0,爱上你是我犯的罪,王爱华,8,酷狗华语新歌,2022-07-26
30,0,一周的朋友,田馥甄,8,酷狗华语新歌,2022-07-26
1,0,秋风起 好想你,苏谭谭,8,酷狗华语新歌,2022-07-26
2,0,眼中沙,孙艺琪,8,酷狗华语新歌,2022-07-26
3,0,下雨天 (Live),金志文,8,酷狗华语新歌,2022-07-26
4,0,深夜的黑眼圈 (对唱版),月下思故人、李英,8,酷狗华语新歌,2022-07-26
5,0,幻想写照,希林娜依高,8,酷狗华语新歌,2022-07-26
6,0,郎情妹意,凯小晴、苏潇潇,8,酷狗华语新歌,2022-07-26
7,0,往事痛几回,李英,8,酷狗华语新歌,2022-07-26
8,0,努力做个更好的自己,王爱华,8,酷狗华语新歌,2022-07-26
9,0,孟婆汤里掺了水,赵洋,8,酷狗华语新歌,2022-07-26
10,0,相思 (合唱版),崔子格、花町馆长,8,酷狗华语新歌,2022-07-26
11,0,好好爱自己,焦响、雨中百合,0,酷狗华语新歌,2022-07-26
12,0,把你拉黑我的心在滴血,安儿陈,8,酷狗华语新歌,2022-07-26
13,0,心痛的回忆 (合唱版),花姐、欧阳尚尚,8,酷狗华语新歌,2022-07-26
14,0,痛彻心扉的泪,雨中百合,0,酷狗华语新歌,2022-07-26
15,0,我在彩虹路边等你,魏佳艺,8,酷狗华语新歌,2022-07-26
16,0,空头爱情,赵洋,8,酷狗华语新歌,2022-07-26
17,0,爱一个人好难,孙露,8,酷狗华语新歌,2022-07-26
